,Year,variable,Count,Student_Level,First_gen_status,Enrollment_status,Gender,Residency,Entry_status
0,2000,Afghan,0.0,underg,first,cont,fem,CARes,freshman
1,2000,African,0.0,underg,first,cont,fem,CARes,freshman
2,2000,African American/Black,63.0,underg,first,cont,fem,CARes,freshman
3,2000,Algerian,0.0,underg,first,cont,fem,CARes,freshman
4,2000,American Indian/Alaska Native,12.0,underg,first,cont,fem,CARes,freshman
5,2000,Armenian,0.0,underg,first,cont,fem,CARes,freshman
6,2000,Asian Indian,0.0,underg,first,cont,fem,CARes,freshman
7,2000,Assyrian/Chaldean,0.0,underg,first,cont,fem,CARes,freshman
8,2000,Bangladeshi,0.0,underg,first,cont,fem,CARes,freshman
9,2000,Cambodian,0.0,underg,first,cont,fem,CARes,freshman
10,2000,Caribbean,0.0,underg,first,cont,fem,CARes,freshman
11,2000,Chinese,340.0,underg,first,cont,fem,CARes,freshman
12,2000,Cuban,0.0,underg,first,cont,fem,CARes,freshman
13,2000,East Indian,37.0,underg,first,cont,fem,CARes,freshman
14,2000,Egyptian,0.0,underg,first,cont,fem,CARes,freshman
15,2000,Fijian,0.0,underg,first,cont,fem,CARes,freshman
16,2000,Filipino,37.0,underg,first,cont,fem,CARes,freshman
17,2000,Georgian,0.0,underg,first,cont,fem,CARes,freshman
18,2000,Guamanian/Chamoro,0.0,underg,first,cont,fem,CARes,freshman
19,2000,Hawaii Other Pacific Islander,31.0,underg,first,cont,fem,CARes,freshman
20,2000,Hawaiian,0.0,underg,first,cont,fem,CARes,freshman
21,2000,Hmong,0.0,underg,first,cont,fem,CARes,freshman
22,2000,Indonesian,0.0,underg,first,cont,fem,CARes,freshman
23,2000,Iranian,0.0,underg,first,cont,fem,CARes,freshman
24,2000,Iraqi,0.0,underg,first,cont,fem,CARes,freshman
25,2000,Israeli,0.0,underg,first,cont,fem,CARes,freshman
26,2000,Japanese,16.0,underg,first,cont,fem,CARes,freshman
27,2000,Jordanian,0.0,underg,first,cont,fem,CARes,freshman
28,2000,Korean,36.0,underg,first,cont,fem,CARes,freshman
29,2000,Kurdish,0.0,underg,first,cont,fem,CARes,freshman
30,2000,Laotian,0.0,underg,first,cont,fem,CARes,freshman
31,2000,Latin American/Latino,0.0,underg,first,cont,fem,CARes,freshman
32,2000,Lebanese,0.0,underg,first,cont,fem,CARes,freshman
33,2000,Malaysian,0.0,underg,first,cont,fem,CARes,freshman
34,2000,Mauritanian,0.0,underg,first,cont,fem,CARes,freshman
35,2000,Mexican/Mexican American/Chicano,250.0,underg,first,cont,fem,CARes,freshman
36,2000,Moroccan,0.0,underg,first,cont,fem,CARes,freshman
37,2000,Other African American/Black,0.0,underg,first,cont,fem,CARes,freshman
38,2000,Other Asian,83.0,underg,first,cont,fem,CARes,freshman
39,2000,Other Pacific Islander,0.0,underg,first,cont,fem,CARes,freshman
40,2000,Other Southwest Asian,0.0,underg,first,cont,fem,CARes,freshman
41,2000,Other Spanish American/Latino,52.0,underg,first,cont,fem,CARes,freshman
42,2000,Other White,0.0,underg,first,cont,fem,CARes,freshman
43,2000,Pakistani,0.0,underg,first,cont,fem,CARes,freshman
44,2000,Palestinian,0.0,underg,first,cont,fem,CARes,freshman
45,2000,Puerto Rican,0.0,underg,first,cont,fem,CARes,freshman
46,2000,Samoan,0.0,underg,first,cont,fem,CARes,freshman
47,2000,Saudi Arabian,0.0,underg,first,cont,fem,CARes,freshman
48,2000,Sri Lankan,0.0,underg,first,cont,fem,CARes,freshman
49,2000,Sudanese,0.0,underg,first,cont,fem,CARes,freshman
50,2000,Syrian,0.0,underg,first,cont,fem,CARes,freshman
51,2000,Taiwanese,0.0,underg,first,cont,fem,CARes,freshman
52,2000,Thai,0.0,underg,first,cont,fem,CARes,freshman
53,2000,Tongan,0.0,underg,first,cont,fem,CARes,freshman
54,2000,Turkish,0.0,underg,first,cont,fem,CARes,freshman
55,2000,Vietnamese,173.0,underg,first,cont,fem,CARes,freshman
56,2000,White/Caucasian,415.0,underg,first,cont,fem,CARes,freshman
57,2000,White/Middle Eastern,0.0,underg,first,cont,fem,CARes,freshman
58,2000,White/North African,0.0,underg,first,cont,fem,CARes,freshman
59,2000,Yemeni,0.0,underg,first,cont,fem,CARes,freshman
60,2000,Afghan,0.0,underg,first,cont,fem,CARes,transfer
61,2000,African,0.0,underg,first,cont,fem,CARes,transfer
62,2000,African American/Black,31.0,underg,first,cont,fem,CARes,transfer
63,2000,Algerian,0.0,underg,first,cont,fem,CARes,transfer
64,2000,American Indian/Alaska Native,14.0,underg,first,cont,fem,CARes,transfer
65,2000,Armenian,0.0,underg,first,cont,fem,CARes,transfer
66,2000,Asian Indian,0.0,underg,first,cont,fem,CARes,transfer
67,2000,Assyrian/Chaldean,0.0,underg,first,cont,fem,CARes,transfer
68,2000,Bangladeshi,0.0,underg,first,cont,fem,CARes,transfer
69,2000,Berber,0.0,underg,first,cont,fem,CARes,transfer
70,2000,Cambodian,0.0,underg,first,cont,fem,CARes,transfer
71,2000,Caribbean,0.0,underg,first,cont,fem,CARes,transfer
72,2000,Chinese,113.0,underg,first,cont,fem,CARes,transfer
73,2000,Circassian,0.0,underg,first,cont,fem,CARes,transfer
74,2000,Cuban,0.0,underg,first,cont,fem,CARes,transfer
75,2000,East Indian,21.0,underg,first,cont,fem,CARes,transfer
76,2000,Egyptian,0.0,underg,first,cont,fem,CARes,transfer
77,2000,Emerati,0.0,underg,first,cont,fem,CARes,transfer
78,2000,Fijian,0.0,underg,first,cont,fem,CARes,transfer
79,2000,Filipino,14.0,underg,first,cont,fem,CARes,transfer
80,2000,Georgian,0.0,underg,first,cont,fem,CARes,transfer
81,2000,Guamanian/Chamoro,0.0,underg,first,cont,fem,CARes,transfer
82,2000,Hawaii Other Pacific Islander,3.0,underg,first,cont,fem,CARes,transfer
83,2000,Hawaiian,0.0,underg,first,cont,fem,CARes,transfer
84,2000,Hmong,0.0,underg,first,cont,fem,CARes,transfer
85,2000,Indonesian,0.0,underg,first,cont,fem,CARes,transfer
86,2000,Iranian,0.0,underg,first,cont,fem,CARes,transfer
87,2000,Iraqi,0.0,underg,first,cont,fem,CARes,transfer
88,2000,Israeli,0.0,underg,first,cont,fem,CARes,transfer
89,2000,Japanese,6.0,underg,first,cont,fem,CARes,transfer
90,2000,Jordanian,0.0,underg,first,cont,fem,CARes,transfer
91,2000,Korean,7.0,underg,first,cont,fem,CARes,transfer
92,2000,Kurdish,0.0,underg,first,cont,fem,CARes,transfer
93,2000,Laotian,0.0,underg,first,cont,fem,CARes,transfer
94,2000,Latin American/Latino,0.0,underg,first,cont,fem,CARes,transfer
95,2000,Lebanese,0.0,underg,first,cont,fem,CARes,transfer
96,2000,Malaysian,0.0,underg,first,cont,fem,CARes,transfer
97,2000,Mexican/Mexican American/Chicano,80.0,underg,first,cont,fem,CARes,transfer
98,2000,Moroccan,0.0,underg,first,cont,fem,CARes,transfer
99,2000,Other African American/Black,0.0,underg,first,cont,fem,CARes,transfer
100,2000,Other Asian,18.0,underg,first,cont,fem,CARes,transfer
101,2000,Other Pacific Islander,0.0,underg,first,cont,fem,CARes,transfer
102,2000,Other Southwest Asian,0.0,underg,first,cont,fem,CARes,transfer
103,2000,Other Spanish American/Latino,30.0,underg,first,cont,fem,CARes,transfer
104,2000,Other White,0.0,underg,first,cont,fem,CARes,transfer
105,2000,Pakistani,0.0,underg,first,cont,fem,CARes,transfer
106,2000,Palestinian,0.0,underg,first,cont,fem,CARes,transfer
107,2000,Puerto Rican,0.0,underg,first,cont,fem,CARes,transfer
108,2000,Samoan,0.0,underg,first,cont,fem,CARes,transfer
109,2000,Saudi Arabian,0.0,underg,first,cont,fem,CARes,transfer
110,2000,Somali,0.0,underg,first,cont,fem,CARes,transfer
111,2000,Sri Lankan,0.0,underg,first,cont,fem,CARes,transfer
112,2000,Sudanese,0.0,underg,first,cont,fem,CARes,transfer
113,2000,Syrian,0.0,underg,first,cont,fem,CARes,transfer
114,2000,Taiwanese,0.0,underg,first,cont,fem,CARes,transfer
115,2000,Thai,0.0,underg,first,cont,fem,CARes,transfer
116,2000,Tongan,0.0,underg,first,cont,fem,CARes,transfer
117,2000,Turkish,0.0,underg,first,cont,fem,CARes,transfer
118,2000,Vietnamese,51.0,underg,first,cont,fem,CARes,transfer
119,2000,White/Caucasian,335.0,underg,first,cont,fem,CARes,transfer
120,2000,White/Middle Eastern,0.0,underg,first,cont,fem,CARes,transfer
121,2000,White/North African,0.0,underg,first,cont,fem,CARes,transfer
122,2000,Yemeni,0.0,underg,first,cont,fem,CARes,transfer
123,2000,Afghan,0.0,underg,nFirst,cont,fem,CARes,freshman
124,2000,African,0.0,underg,nFirst,cont,fem,CARes,freshman
125,2000,African American/Black,56.0,underg,nFirst,cont,fem,CARes,freshman
126,2000,Algerian,0.0,underg,nFirst,cont,fem,CARes,freshman
127,2000,American Indian/Alaska Native,18.0,underg,nFirst,cont,fem,CARes,freshman
128,2000,Armenian,0.0,underg,nFirst,cont,fem,CARes,freshman
129,2000,Asian Indian,0.0,underg,nFirst,cont,fem,CARes,freshman
130,2000,Assyrian/Chaldean,0.0,underg,nFirst,cont,fem,CARes,freshman
131,2000,Azerbaijani,0.0,underg,nFirst,cont,fem,CARes,freshman
132,2000,Bangladeshi,0.0,underg,nFirst,cont,fem,CARes,freshman
133,2000,Berber,0.0,underg,nFirst,cont,fem,CARes,freshman
134,2000,Cambodian,0.0,underg,nFirst,cont,fem,CARes,freshman
135,2000,Caribbean,0.0,underg,nFirst,cont,fem,CARes,freshman
136,2000,Chinese,276.0,underg,nFirst,cont,fem,CARes,freshman
137,2000,Circassian,0.0,underg,nFirst,cont,fem,CARes,freshman
138,2000,Cuban,0.0,underg,nFirst,cont,fem,CARes,freshman
139,2000,East Indian,97.0,underg,nFirst,cont,fem,CARes,freshman
140,2000,Egyptian,0.0,underg,nFirst,cont,fem,CARes,freshman
141,2000,Fijian,0.0,underg,nFirst,cont,fem,CARes,freshman
142,2000,Filipino,179.0,underg,nFirst,cont,fem,CARes,freshman
143,2000,Georgian,0.0,underg,nFirst,cont,fem,CARes,freshman
144,2000,Guamanian/Chamoro,0.0,underg,nFirst,cont,fem,CARes,freshman
145,2000,Hawaii Other Pacific Islander,28.0,underg,nFirst,cont,fem,CARes,freshman
146,2000,Hawaiian,0.0,underg,nFirst,cont,fem,CARes,freshman
147,2000,Hmong,0.0,underg,nFirst,cont,fem,CARes,freshman
148,2000,Indonesian,0.0,underg,nFirst,cont,fem,CARes,freshman
149,2000,Iranian,0.0,underg,nFirst,cont,fem,CARes,freshman
150,2000,Iraqi,0.0,underg,nFirst,cont,fem,CARes,freshman
151,2000,Israeli,0.0,underg,nFirst,cont,fem,CARes,freshman
152,2000,Japanese,72.0,underg,nFirst,cont,fem,CARes,freshman
153,2000,Jordanian,0.0,underg,nFirst,cont,fem,CARes,freshman
154,2000,Korean,69.0,underg,nFirst,cont,fem,CARes,freshman
155,2000,Kurdish,0.0,underg,nFirst,cont,fem,CARes,freshman
156,2000,Kuwaiti,0.0,underg,nFirst,cont,fem,CARes,freshman
157,2000,Laotian,0.0,underg,nFirst,cont,fem,CARes,freshman
158,2000,Latin American/Latino,0.0,underg,nFirst,cont,fem,CARes,freshman
159,2000,Lebanese,0.0,underg,nFirst,cont,fem,CARes,freshman
160,2000,Libyan,0.0,underg,nFirst,cont,fem,CARes,freshman
161,2000,Malaysian,0.0,underg,nFirst,cont,fem,CARes,freshman
162,2000,Mexican/Mexican American/Chicano,81.0,underg,nFirst,cont,fem,CARes,freshman
163,2000,Moroccan,0.0,underg,nFirst,cont,fem,CARes,freshman
