year,First_gen,New_Enrollment,Female,CA_residence,Non_CA_residence,International,Afghan,African,African American/Black,Algerian,American Indian/Alaska Native,Armenian,Asian Indian,Assyrian/Chaldean,Azerbaijani,Bahraini,Bangladeshi,Berber,Cambodian,Caribbean,Chinese,Circassian,Cuban,Djiboutian,East Indian,Egyptian,Emerati,Fijian,Filipino,Georgian,Guamanian/Chamoro,Hawaii Other Pacific Islander,Hawaiian,Hmong,Indonesian,Iranian,Iraqi,Israeli,Japanese,Jordanian,Korean,Kurdish,Kuwaiti,Laotian,Latin American/Latino,Lebanese,Libyan,Malaysian,Mauritanian,Mexican/Mexican American/Chicano,Moroccan,Native Hawaiian and Pacific Islander,Omani,Other African American/Black,Other Asian,Other North African,Other Pacific Islander,Other Southwest Asian,Other Spanish American/Latino,Other White,Pakistani,Palestinian,Puerto Rican,Qatari,Samoan,Saudi Arabian,Somali,Sri Lankan,Sudanese,Syrian,Taiwanese,Thai,Tongan,Tunisian,Turkish,Vietnamese,White/Caucasian,White/Middle Eastern,White/North African,Yemeni
2019,1,0,1,1,0,0,72,48,284,3,116,17,259,7,0,0,8,0,55,27,972,0,20,0,0,6,0,32,321,1,10,0,24,92,17,39,9,9,64,7,88,0,0,23,834,17,0,4,1,3020,7,0,0,30,73,0,5,2,342,155,82,34,37,0,10,2,0,4,6,8,47,27,5,0,3,580,1387,2,0,7
2019,1,0,1,0,0,1,1,1,0,0,2,0,15,0,0,0,0,0,1,2,352,0,1,0,0,0,1,0,1,0,1,0,0,0,6,0,0,1,4,0,16,0,0,0,77,1,0,8,0,249,0,0,0,0,8,0,0,0,22,4,0,0,0,0,0,0,0,0,0,0,16,4,0,0,1,8,20,0,0,0
2019,1,0,1,0,1,0,1,4,10,0,5,1,6,0,0,0,0,0,2,0,45,0,0,0,0,0,0,1,9,0,1,0,2,1,0,0,0,1,6,2,3,0,0,0,7,1,0,0,0,35,0,0,0,0,0,0,0,0,7,2,0,0,3,0,2,0,0,1,0,0,8,0,1,0,0,7,44,0,0,0
2019,1,0,0,1,0,0,47,26,111,2,50,14,175,3,0,0,8,1,30,5,571,0,14,0,0,11,0,17,170,0,10,0,18,39,8,27,6,7,48,12,57,1,0,19,384,14,0,3,0,1310,1,0,0,9,48,1,6,1,141,73,53,12,19,0,9,1,1,4,0,3,31,13,0,1,4,363,772,1,1,10
2019,1,0,0,0,0,1,0,4,1,0,1,0,23,0,0,0,0,0,1,1,429,0,0,0,0,0,0,1,3,0,0,0,0,0,11,0,0,0,7,0,13,0,1,0,47,0,0,4,0,130,0,0,0,0,5,0,0,0,7,2,3,0,0,0,0,1,0,0,0,0,12,3,1,0,2,9,11,0,0,0
2019,1,0,0,0,1,0,0,4,5,0,2,0,2,0,0,0,2,0,0,3,23,0,0,0,0,0,0,0,4,0,2,0,0,0,1,2,0,0,2,0,4,0,0,0,9,0,0,0,0,17,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,16,0,0,1
2019,1,1,1,1,0,0,23,15,86,1,45,5,69,1,0,0,2,0,15,7,264,0,6,0,0,3,0,10,91,0,4,0,7,23,4,9,5,2,20,4,20,0,0,5,264,7,0,1,0,906,2,0,0,12,32,0,1,1,100,45,24,15,13,0,4,0,0,0,2,4,14,8,2,0,0,177,428,0,0,3
2019,1,1,1,0,0,1,0,1,0,0,2,0,4,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,23,0,0,2,0,68,0,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,3,6,0,0,0
2019,1,1,1,0,1,0,0,2,4,0,3,1,2,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,1,4,0,2,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,4,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,3,21,0,0,0
2019,1,1,0,1,0,0,21,8,29,2,12,6,74,1,0,0,2,1,12,0,179,0,4,0,0,5,0,5,45,0,4,0,8,9,2,8,2,2,16,4,16,0,0,6,112,5,0,2,0,413,1,0,0,4,12,0,1,1,53,23,16,3,7,0,3,0,0,2,0,0,9,5,0,0,1,100,252,0,0,4
2019,1,1,0,0,0,1,0,1,0,0,1,0,6,0,0,0,0,0,1,0,123,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,6,0,4,0,1,0,12,0,0,1,0,37,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,5,1,0,0,0
2019,1,1,0,0,1,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0
2019,0,0,1,1,0,0,18,57,242,2,89,46,640,7,3,1,18,1,27,34,1048,2,24,0,0,31,0,15,686,2,23,0,29,25,33,165,13,37,297,24,263,0,1,11,305,50,0,18,0,748,2,0,0,16,84,1,22,1,265,204,91,51,47,0,5,1,0,15,2,26,229,41,2,4,21,313,3691,2,0,4
2019,0,0,1,0,0,1,0,5,0,1,0,0,105,0,0,0,2,0,0,2,1081,0,2,0,0,1,0,0,13,0,0,0,0,0,38,3,0,0,19,1,57,1,1,0,14,1,0,12,1,11,0,0,0,1,16,0,0,0,8,1,3,0,0,0,0,11,0,1,0,0,56,10,0,0,3,11,33,0,0,0
2019,0,0,1,0,1,0,0,4,8,0,9,3,62,0,0,0,1,0,1,1,91,0,2,0,0,3,0,0,24,0,3,0,6,1,5,4,0,3,32,1,27,0,2,0,18,5,0,2,0,16,0,0,0,1,6,0,0,0,10,14,5,2,3,0,2,0,0,1,1,1,26,8,1,0,4,9,259,0,0,1
2019,0,0,0,1,0,0,22,51,154,2,60,33,348,3,4,1,13,1,11,25,607,2,21,0,3,18,1,9,432,1,15,0,19,14,27,100,16,15,172,13,197,3,0,9,147,36,3,18,0,369,3,0,0,11,51,0,6,6,112,124,87,21,28,1,2,3,0,3,1,13,150,20,2,0,10,231,2365,5,1,5
2019,0,0,0,0,0,1,0,9,0,1,0,1,150,0,1,0,0,0,1,0,1147,0,0,0,0,4,5,0,9,0,0,0,0,0,43,2,1,3,15,4,81,0,2,0,12,3,0,12,0,5,0,0,3,0,18,0,2,1,6,9,5,2,0,0,0,14,0,0,0,0,46,12,0,0,7,15,40,0,0,0
2019,0,0,0,0,1,0,0,1,9,0,1,1,43,0,0,0,4,0,0,5,78,0,3,0,0,4,0,0,13,0,5,0,1,0,2,3,1,2,19,3,33,0,0,2,9,4,0,1,0,12,2,0,0,1,1,0,2,1,9,12,7,2,4,0,0,3,0,3,0,2,39,5,0,0,1,8,149,0,0,0
2019,0,1,1,1,0,0,6,12,79,1,24,14,205,0,2,1,6,1,10,13,335,0,7,0,0,9,0,5,222,0,9,0,13,9,10,52,4,17,74,4,105,0,0,5,94,14,0,6,0,208,2,0,0,6,18,0,9,0,83,58,28,11,11,0,3,1,0,1,1,9,64,19,0,1,9,101,1099,0,0,0
2019,0,1,1,0,0,1,0,2,0,0,0,0,26,0,0,0,1,0,0,0,212,0,1,0,0,1,0,0,4,0,0,0,0,0,21,0,0,0,4,0,21,0,0,0,1,1,0,2,0,4,0,0,0,0,5,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,18,3,0,0,1,2,8,0,0,0
2019,0,1,1,0,1,0,0,2,5,0,3,1,25,0,0,0,1,0,0,2,29,0,1,0,0,1,0,0,9,0,2,0,2,1,1,2,0,3,9,0,3,0,1,0,7,3,0,1,0,5,0,0,0,0,2,0,0,0,2,4,3,1,2,0,1,0,0,0,0,1,9,4,0,0,2,3,82,0,0,0
2019,0,1,0,1,0,0,8,17,50,2,13,8,112,1,0,0,4,0,5,11,182,0,9,0,0,7,0,3,136,0,5,0,6,6,10,24,7,10,60,5,68,0,0,1,47,11,1,3,0,115,1,0,0,2,14,0,1,3,38,46,32,9,7,0,0,1,0,2,0,6,51,5,1,0,2,75,719,0,0,2
2019,0,1,0,0,0,1,0,5,0,1,0,0,51,0,0,0,0,0,1,0,254,0,0,0,0,2,2,0,2,0,0,0,0,0,14,1,0,1,6,1,18,0,1,0,0,0,0,0,0,2,0,0,1,0,2,0,0,1,1,4,2,2,0,0,0,0,0,0,0,0,17,1,0,0,1,4,11,0,0,0
2019,0,1,0,0,1,0,0,0,1,0,0,1,21,0,0,0,0,0,0,1,34,0,1,0,0,1,0,0,4,0,1,0,0,0,0,2,0,0,5,0,8,0,0,1,2,0,0,1,0,2,0,0,0,1,1,0,0,1,3,2,0,0,0,0,0,1,0,1,0,1,9,2,0,0,1,2,40,0,0,0
2018,1,0,1,1,0,0,70,56,278,2,111,18,268,8,0,0,8,1,55,27,1032,0,26,0,0,8,0,31,314,2,8,0,22,84,17,42,8,10,67,3,97,1,0,29,781,12,0,6,1,2804,7,0,0,26,62,0,10,1,344,164,83,21,41,0,8,4,1,8,4,5,53,25,7,0,4,597,1416,8,1,8
2018,1,0,1,0,0,1,1,2,1,0,0,0,12,0,0,0,0,0,1,2,417,0,1,0,0,1,1,0,3,0,1,1,0,0,7,1,0,1,4,0,20,0,0,0,74,2,0,12,0,250,0,0,0,0,10,0,0,0,22,3,0,0,0,0,0,0,0,2,0,0,17,3,0,0,1,9,19,0,0,0
2018,1,0,1,0,1,0,1,1,9,0,5,0,5,0,0,0,0,0,0,0,46,0,0,0,0,0,0,1,6,0,3,0,1,0,0,0,0,0,2,2,2,0,0,0,12,1,0,0,0,31,0,0,0,1,1,0,0,0,7,2,1,0,2,0,2,0,0,0,0,0,6,0,1,0,0,6,35,0,0,0
2018,1,0,0,1,0,0,39,31,139,1,60,9,159,2,0,0,5,1,27,11,586,1,14,0,0,7,0,21,177,0,8,0,11,35,9,29,8,7,44,8,68,1,0,14,370,14,0,1,0,1218,0,0,0,8,45,1,7,0,137,79,44,16,25,0,8,2,2,6,0,6,34,11,1,1,3,366,781,4,0,6
2018,1,0,0,0,0,1,0,3,4,0,1,0,21,0,1,0,0,0,0,1,429,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,3,0,15,0,0,0,51,0,0,6,0,131,0,0,0,0,5,0,0,0,11,2,2,0,0,0,0,1,0,0,0,0,14,3,1,0,1,9,13,0,0,0
2018,1,0,0,0,1,0,1,5,0,0,2,0,3,0,0,0,1,0,0,2,25,0,0,0,0,0,0,0,4,0,2,0,0,0,1,2,0,0,1,0,2,0,0,0,9,0,0,0,0,19,0,0,0,0,2,0,0,1,4,0,0,1,1,0,0,0,0,0,0,0,4,1,0,0,0,1,19,0,0,1
2018,1,1,1,1,0,0,22,16,101,2,34,4,81,2,0,0,3,0,15,7,290,0,7,0,0,2,0,9,89,1,4,0,9,26,6,14,2,5,20,0,28,0,0,9,273,3,0,0,1,911,5,0,0,5,15,0,3,0,112,52,22,6,14,0,3,1,0,1,0,2,10,11,2,0,2,182,492,1,0,2
2018,1,1,1,0,0,1,0,1,1,0,0,0,4,0,0,0,0,0,1,1,152,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,6,0,0,0,25,1,0,3,0,81,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,4,9,0,0,0
2018,1,1,1,0,1,0,1,2,9,0,0,0,1,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2,16,0,0,0
2018,1,1,0,1,0,0,13,10,44,0,13,6,46,1,0,0,2,0,8,4,183,0,6,0,0,2,0,5,59,0,6,0,4,10,4,10,2,3,12,3,21,0,0,4,123,4,0,1,0,395,0,0,0,5,10,1,2,0,35,28,18,5,4,0,1,0,0,1,0,1,6,2,0,1,3,114,237,0,0,2
2018,1,1,0,0,0,1,0,2,1,0,0,0,5,0,1,0,0,0,0,1,153,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,16,0,0,3,0,36,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,3,5,0,0,0
2018,1,1,0,0,1,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,8,0,0,1
2018,0,0,1,1,0,0,21,61,220,1,96,39,581,8,2,0,17,0,25,26,946,2,27,0,0,33,0,13,654,2,16,0,25,22,29,158,17,26,287,25,216,1,1,10,267,45,0,17,0,729,3,0,0,13,87,1,15,2,248,205,94,51,48,0,3,1,0,14,0,24,229,30,3,4,20,287,3606,5,0,5
2018,0,0,1,0,0,1,0,4,0,1,0,0,99,0,0,0,1,0,0,2,1152,0,1,0,0,0,0,0,9,0,0,0,0,0,31,3,0,0,17,1,57,1,2,0,19,1,0,16,1,11,0,0,0,1,14,0,0,0,7,1,4,0,0,0,0,9,0,1,0,0,51,8,0,0,2,13,37,0,0,0
2018,0,0,1,0,1,0,0,7,10,0,9,2,47,0,0,0,1,0,1,2,91,0,2,0,0,5,1,0,19,0,3,0,4,0,8,2,0,0,33,1,39,0,1,0,16,3,0,3,0,19,0,0,0,2,6,0,0,0,14,15,4,1,3,0,1,0,0,1,1,0,28,5,1,0,2,9,270,0,0,1
2018,0,0,0,1,0,0,21,38,145,2,69,35,338,5,4,1,11,1,8,20,606,2,19,0,2,21,0,7,403,1,13,0,21,9,21,117,13,18,179,10,181,4,1,9,157,32,2,20,0,393,2,0,0,12,50,0,8,4,110,132,73,18,28,1,3,2,0,2,1,13,144,20,2,1,14,205,2439,7,1,6
2018,0,0,0,0,0,1,0,6,0,0,0,1,135,0,1,1,0,0,0,0,1167,0,1,0,0,3,3,0,10,0,0,0,0,0,46,3,2,3,13,4,92,0,2,0,14,3,0,16,0,4,0,0,2,0,18,0,2,0,5,6,4,0,0,0,0,15,0,1,0,0,43,11,0,0,6,18,37,0,0,0
2018,0,0,0,0,1,0,0,0,10,0,2,0,25,0,0,0,4,0,0,5,68,0,2,0,0,3,0,0,14,0,5,0,1,0,4,3,0,2,16,3,34,0,0,1,7,4,0,1,0,10,2,0,0,0,1,0,2,0,7,13,9,2,4,0,0,2,0,2,0,2,42,4,0,0,0,7,138,0,0,0
2018,0,1,1,1,0,0,8,23,67,0,31,10,190,2,0,0,6,0,7,4,313,1,9,0,0,13,0,4,187,1,7,0,5,4,11,41,4,7,91,8,63,0,0,3,81,12,0,8,0,223,1,0,0,2,33,0,4,1,81,51,22,20,12,0,1,0,0,2,0,11,65,10,2,0,4,100,1044,1,0,2
2018,0,1,1,0,0,1,0,2,0,0,0,0,30,0,0,0,1,0,0,0,398,0,0,0,0,0,0,0,5,0,0,0,0,0,10,1,0,0,11,0,18,1,0,0,7,0,0,6,1,2,0,0,0,0,5,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,16,3,0,0,1,4,13,0,0,0
2018,0,1,1,0,1,0,0,1,3,0,1,1,20,0,0,0,0,0,0,1,24,0,0,0,0,2,0,0,7,0,2,0,2,0,1,0,0,0,16,1,12,0,0,0,10,1,0,0,0,6,0,0,0,2,4,0,0,0,4,6,0,0,0,0,0,0,0,1,1,0,9,1,1,0,1,2,92,0,0,0
2018,0,1,0,1,0,0,7,16,42,0,17,8,101,1,2,0,4,1,2,6,201,0,5,0,1,9,0,1,124,0,6,0,3,2,4,32,2,5,44,1,63,2,0,4,43,15,1,5,0,103,1,0,0,6,13,0,1,2,28,37,29,6,13,0,2,0,0,0,0,1,42,6,1,0,1,69,730,0,0,1
2018,0,1,0,0,0,1,0,0,0,0,0,0,39,0,0,1,0,0,0,0,378,0,1,0,0,3,1,0,3,0,0,0,0,0,15,0,1,1,3,0,36,0,0,0,5,1,0,5,0,1,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,8,7,0,0,1,4,10,0,0,0
2018,0,1,0,0,1,0,0,0,3,0,0,0,12,0,0,0,0,0,0,1,19,0,1,0,0,0,0,0,6,0,1,0,0,0,1,0,0,1,5,2,10,0,0,1,2,2,0,0,0,2,0,0,0,0,0,0,2,0,2,6,5,1,1,0,0,0,0,0,0,1,12,0,0,0,0,1,36,0,0,0
2017,1,0,1,1,0,0,66,53,257,1,111,24,264,8,0,0,8,1,54,24,1114,0,32,0,1,7,0,33,308,3,6,0,22,77,18,47,10,7,75,4,101,2,0,29,674,12,0,7,0,2519,3,0,0,27,67,0,10,1,321,154,76,21,40,0,3,3,1,11,4,5,59,23,7,0,4,635,1391,16,2,10
2017,1,0,1,0,0,1,1,3,2,0,0,1,12,0,0,0,0,0,1,0,383,0,0,0,0,1,1,0,5,0,0,1,0,0,9,2,0,1,6,0,19,0,0,0,58,1,0,16,0,214,0,0,0,0,7,0,0,0,14,3,0,0,0,0,0,0,0,3,0,0,19,3,0,0,1,7,12,0,0,0
2017,1,0,1,0,1,0,0,0,6,0,6,0,6,0,0,0,0,0,0,1,53,0,1,0,0,0,0,1,5,0,3,0,0,0,0,0,0,0,3,1,6,0,0,0,8,1,0,0,0,28,0,0,0,1,2,0,0,0,6,3,1,1,2,0,1,0,1,0,0,1,7,0,0,0,0,9,36,0,0,0
2017,1,0,0,1,0,0,33,29,137,1,69,9,170,2,0,0,4,1,30,11,644,1,11,0,2,6,0,20,165,0,3,0,11,41,12,28,9,9,48,7,73,1,0,14,359,15,0,1,0,1215,1,0,0,5,55,1,6,0,149,87,39,15,28,0,9,2,1,6,0,6,38,15,2,0,2,387,875,17,1,8
2017,1,0,0,0,0,1,0,1,3,0,1,0,18,0,0,0,0,0,1,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,6,0,18,0,0,0,49,0,0,3,0,130,0,0,0,0,5,0,0,0,11,2,3,0,0,0,0,1,0,1,0,0,14,2,1,0,0,8,10,0,0,0
2017,1,0,0,0,1,0,2,2,2,0,3,0,2,0,0,0,3,0,0,2,25,0,0,0,0,0,0,0,4,0,1,0,0,0,1,3,1,0,3,0,3,0,0,0,6,0,0,0,0,19,0,0,0,1,2,0,0,1,4,1,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,1,20,0,0,0
2017,1,1,1,1,0,0,19,19,83,0,38,7,78,3,0,0,2,0,14,12,263,0,6,0,0,2,0,13,103,0,2,0,6,21,6,20,4,2,20,3,23,0,0,9,248,6,0,3,0,849,0,0,0,12,15,0,3,1,99,49,31,9,11,0,1,1,0,5,2,1,16,8,2,0,2,166,449,0,0,1
